bench id,algorithm,time,number of inter solutions,alg weights,expected weights,capacity,alg total weight,expected total weight,alg profit,expected profit,profit difference,percentage profit difference
1,DPWeights,0.00207,1123,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,165,165,309,309,0,0.0
1,TwoApproxAlgorithm,4e-05,6,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,165,165,309,309,0,0.0
2,DPWeights,0.000171,88,"[0, 1, 1, 1, 0]","[0, 1, 1, 1, 0]",26,26,26,51,51,0,0.0
2,TwoApproxAlgorithm,2.3e-05,4,"[0, 1, 0, 1, 1]","[0, 1, 1, 1, 0]",26,24,26,44,51,7,13.7255
3,DPWeights,0.001331,795,"[1, 1, 0, 0, 1, 0]","[1, 1, 0, 0, 1, 0]",190,190,190,150,150,0,0.0
3,TwoApproxAlgorithm,2e-05,4,"[1, 1, 0, 0, 0, 1]","[1, 1, 0, 0, 1, 0]",190,132,190,105,150,45,30.0
4,DPWeights,0.000427,264,"[1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]",50,50,50,107,107,0,0.0
4,TwoApproxAlgorithm,2.1e-05,6,"[0, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0]",50,42,50,79,107,28,26.1682
5,DPWeights,0.000988,698,"[1, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1]",104,104,104,900,900,0,0.0
5,TwoApproxAlgorithm,3e-05,8,"[1, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1]",104,97,104,858,900,42,4.6667
6,DPWeights,0.001387,826,"[0, 1, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 1]",170,169,169,1735,1735,0,0.0
6,TwoApproxAlgorithm,2.4e-05,4,"[1, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 1]",170,140,169,1478,1735,257,14.8127
7,DPWeights,0.01365,9832,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,749,749,1458,1458,0,0.0
7,TwoApproxAlgorithm,4.3e-05,9,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",750,653,749,1249,1458,209,14.3347
